direction	angle	index	help	smooth							
straight	4	0	4	0							
straight	24	0	5	0							
straight	2	0	6	0							
left	-32	1	1	0							
straight	0	0	1	0							
straight	9	0	2	0							
straight	24	0	3	0							
straight	3	0	4	0							
right	28	-1	1	0							
straight	0	0	1	0							
straight	-1	0	2	0							
straight	0	0	3	0							
straight	2	0	4	0							
straight	18	0	5	0							
straight	1	0	6	0							
straight	21	0	7	0							
straight	25	0	8	0							
straight	-1	0	9	0							
straight	0	0	10	0							
straight	0	0	11	0							
straight	9	0	12	0							
straight	-1	0	13	0							
straight	-2	0	14	0							
straight	0	0	15	0							
straight	0	0	16	0							
straight	0	0	17	0							
straight	-3	0	18	0							
straight	2	0	19	0							
straight	-2	0	20	0							
straight	1	0	21	0							
straight	0	0	22	0							
straight	0	0	23	0							
straight	0	0	24	0							
straight	-1	0	25	0							
straight	-1	0	26	0							
straight	0	0	27	0							
straight	1	0	28	0							
straight	-4	0	29	0							
straight	25	0	30	0							
straight	0	0	31	0							
straight	-2	0	32	0							
straight	-1	0	33	0							
straight	0	0	34	0							
straight	-3	0	35	0							
straight	-6	0	36	0							
straight	0	0	37	0							
straight	1	0	38	0							
straight	0	0	39	0							
straight	21	0	40	0							
straight	0	0	41	0							
straight	-1	0	42	0							
straight	0	0	43	0							
straight	0	0	44	0							
straight	0	0	45	0							
straight	5	0	46	0							
straight	0	0	47	0							
straight	-4	0	48	0							
straight	0	0	49	0							
straight	-21	0	50	0							
straight	14	0	51	0							
straight	-1	0	52	0							
straight	24	0	53	0							
right	31	-1	1	0							
straight	-1	0	1	0							
straight	0	0	2	0							
straight	0	0	3	0							
straight	17	0	4	0							
straight	-1	0	5	0							
straight	0	0	6	0							
straight	19	0	7	0							
right	45	-1	1	0							
straight	0	0	1	0							
straight	20	0	2	0							
straight	3	0	3	0							
straight	0	0	4	0							
straight	0	0	5	0							
right	52	-1	1	0							
straight	-5	0	1	0							
straight	0	0	2	0							
straight	-1	0	3	0							
straight	0	0	4	0							
straight	-6	0	5	0							
straight	19	0	6	0							
straight	0	0	7	0							
straight	-2	0	8	0							
straight	16	0	9	0							
straight	22	0	10	0							
straight	25	0	11	0							
straight	14	0	12	0							
straight	0	0	13	0							
straight	19	0	14	0							
right	100	-1	1	0							
straight	18	0	1	0							
straight	-1	0	2	0							
left	-42	1	1	0							
straight	10	0	1	0							
left	-44	1	1	0							
straight	-4	0	1	0							
straight	-1	0	2	0							
straight	15	0	3	0							
straight	-2	0	4	0							
straight	0	0	5	0							
straight	20	0	6	0							
straight	22	0	7	0							
straight	22	0	8	0							
straight	17	0	9	0							
straight	0	0	10	0							
straight	18	0	11	0							
straight	-2	0	12	0							
straight	0	0	13	0							
straight	-2	0	14	0							
straight	4	0	15	0							
straight	-3	0	16	0							
straight	-1	0	17	0							
straight	0	0	18	0							
right	52	-1	1	0							
straight	-2	0	1	0							
straight	22	0	2	0							
straight	0	0	3	0							
straight	16	0	4	0							
straight	-5	0	5	0							
straight	0	0	6	0							
straight	-1	0	7	0							
straight	19	0	8	0							
straight	21	0	9	0							
straight	-1	0	10	0							
left	-40	1	1	0							
left	-39	1	2	0							
straight	20	0	1	0							
straight	-2	0	2	0							
straight	-1	0	3	0							
right	41	-1	1	0							
straight	-4	0	1	0							
straight	24	0	2	0							
straight	-4	0	3	0							
straight	22	0	4	0							
straight	-4	0	5	0							
straight	20	0	6	0							
straight	-6	0	7	0							
straight	-1	0	8	0							
straight	15	0	9	0							
straight	0	0	10	0							
straight	18	0	11	0							
straight	-4	0	12	0							
right	39	-1	1	0							
straight	-1	0	1	0							
straight	-1	0	2	0							
right	57	-1	1	0							
straight	-4	0	1	0							
straight	-3	0	2	0							
straight	0	0	3	0							
straight	-3	0	4	0							
straight	-2	0	5	0							
straight	-3	0	6	0							
straight	-1	0	7	0							
straight	19	0	8	0							
straight	16	0	9	0							
straight	-1	0	10	0							
straight	0	0	11	0							
straight	-2	0	12	0							
straight	-2	0	13	0							
straight	-1	0	14	0							
straight	-2	0	15	0							
straight	-3	0	16	0							
straight	-2	0	17	0							
straight	-1	0	18	0							
straight	16	0	19	0							
straight	-1	0	20	0							
straight	-3	0	21	0							
straight	16	0	22	0							
straight	20	0	23	0							
straight	-2	0	24	0							
straight	-3	0	25	0							
straight	20	0	26	0							
straight	-2	0	27	0							
straight	18	0	28	0							
straight	16	0	29	0							
straight	-4	0	30	0							
straight	19	0	31	0							
straight	-2	0	32	0							
straight	-5	0	33	0							
straight	-2	0	34	0							
straight	-4	0	35	0							
straight	-2	0	36	0							
straight	-3	0	37	0							
left	-36	1	1	0							
straight	19	0	1	0							
straight	21	0	2	0							
straight	16	0	3	0							
straight	17	0	4	0							
straight	20	0	5	0							
straight	-3	0	6	0							
straight	-3	0	7	0							
straight	-4	0	8	0							
straight	-6	0	9	0							
straight	-3	0	10	0							
right	60	-1	1	0							
right	49	-1	2	0							
straight	-2	0	1	0							
straight	-3	0	2	0							
straight	20	0	3	0							
straight	-1	0	4	0							
straight	20	0	5	0							
straight	18	0	6	0							
straight	-1	0	7	0							
straight	-2	0	8	0							
straight	19	0	9	0							
straight	15	0	10	0							
straight	-3	0	11	0							
straight	-2	0	12	0							
straight	9	0	13	0							
straight	-3	0	14	0							
straight	-3	0	15	0							
straight	19	0	16	0							
straight	-4	0	17	0							
straight	-1	0	18	0							
straight	-5	0	19	0							
straight	0	0	20	0							
straight	-2	0	21	0							
straight	-3	0	22	0							
straight	-5	0	23	0							
straight	-3	0	24	0							
straight	-3	0	25	0							
straight	-8	0	26	0							
straight	-4	0	27	0							
straight	-2	0	28	0							
straight	-5	0	29	0							
